"Diferencia";"Aplicación.Nombre del campo";"Número de valores"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_APPR011"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_APPR010"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_APPR009"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_APPR007"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_APPR003"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_APPR001"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_Estado_general"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_Estado_de_progreso"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_Año"
"No encontrado";"Atributos_de_Seguridad.Remediación_CIA_Trimestre"
"No encontrado";"enumNombre_de_la_campaña_2_1"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Ley__Normativa_alcanzada"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Etapa_de_flujo_de_trabajo"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Procesos"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Copiar_a_recurso_compartido_de_red"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Subir_a_FTP"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Subir_a_web_HTTPS_por_Navegador"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Enviar_por_cliente_de_correo_electrónico"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Copia_al_portapapeles"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Impresión"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Copia_a_Dispositivo_Extraible_Incluye_Co"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Monitoreo_de_Aplicaciones_Suite_Office"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Almacenamiento_en_recurso_compartido"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Almacenamiento_en_discos_locales"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Enviar_por_cliente_de_correo"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Adjuntar_información_a_web_FTP"
